id,caller_id,agent_id,complaint_topic,assigned_to,status,resolution_duration_in_hours
1,CALLER_1,163,Billing discrepancy,122,Closed,33
2,CALLER_2,133,Difficulty reaching customer support,N/A,New,
3,CALLER_3,153,Wrong item received,122,Resolved,
4,CALLER_4,161,Unauthorized charges,151,Pending,
5,CALLER_5,148,Unprofessional behavior,N/A,New,
6,CALLER_6,157,Inadequate product instructions,125,Closed,18
7,CALLER_7,179,Unsatisfactory resolution,125,Resolved,
8,CALLER_8,171,Rude customer service representative,N/A,Pending,
9,CALLER_9,161,Website not working,161,New,
10,CALLER_10,159,Product damaged during shipping,135,Resolved,
11,CALLER_11,147,Inadequate product instructions,133,Closed,18
12,CALLER_12,143,Inaccurate information provided,122,Pending,
13,CALLER_13,124,Slow response time,132,Resolved,
14,CALLER_14,151,Unsatisfactory resolution,136,Resolved,
15,CALLER_15,171,Slow response time,N/A,New,
16,CALLER_16,131,Difficulty getting a refund,169,Pending,
17,CALLER_17,179,Long wait time,155,Closed,44
18,CALLER_18,130,Website not working,155,Closed,13
19,CALLER_19,159,Shipping delay,N/A,Closed,32
20,CALLER_20,131,Misplaced order,N/A,Closed,44
21,CALLER_21,121,Unprofessional behavior,N/A,New,
22,CALLER_22,121,Refund not processed,133,Resolved,
23,CALLER_23,177,Unprofessional behavior,158,New,
24,CALLER_24,173,Shipping delay,137,Resolved,
25,CALLER_25,162,Package never arrived,N/A,Closed,17
26,CALLER_26,124,Lack of follow-up,143,New,
27,CALLER_27,168,Lack of follow-up,166,Pending,
28,CALLER_28,146,Billing discrepancy,133,Pending,
29,CALLER_29,151,Product not as described,173,Closed,26
30,CALLER_30,172,Long wait time,133,Closed,35
31,CALLER_31,161,Unsatisfactory resolution,179,Closed,14
32,CALLER_32,157,Lack of follow-up,N/A,New,
33,CALLER_33,138,Incorrect charges,N/A,Resolved,
34,CALLER_34,142,Product damaged during shipping,140,Closed,27
35,CALLER_35,123,Unauthorized charges,N/A,Pending,
36,CALLER_36,180,Incorrect order,167,Pending,
37,CALLER_37,135,Incorrect charges,145,Closed,26
38,CALLER_38,179,Unauthorized charges,143,Pending,
39,CALLER_39,129,Rude customer service representative,N/A,Pending,
40,CALLER_40,122,Rude customer service representative,146,New,
41,CALLER_41,159,Poor communication,144,Pending,
42,CALLER_42,156,Website not working,N/A,Pending,
43,CALLER_43,144,Poor communication,161,Pending,
44,CALLER_44,171,Difficulty reaching customer support,177,Resolved,
45,CALLER_45,172,Lost package,N/A,Closed,36
46,CALLER_46,156,Difficulty reaching customer support,141,Closed,38
47,CALLER_47,172,Difficulty cancelling subscription,N/A,Resolved,
48,CALLER_48,135,Difficulty reaching customer support,N/A,Pending,
49,CALLER_49,171,Inadequate product instructions,N/A,Closed,18
50,CALLER_50,160,Product not as described,172,Pending,
